"","taxid"
"1",1165456
"2",1712568
"3",6763
"4",178876
"5",2585856
"6",289615
"7",2894562
"8",586396
"9",5083
"10",5580
"11",8524
"12",7632
"13",86256
"14",1537989
"15",222816
"16",316391
"17",5627
"18",69293
"19",82940
"20",2691982
"21",1001937
"22",407821
"23",9844
"24",5270
"25",318829
"26",94610
"27",4577
"28",9606
"29",13368
"30",2614606
"31",4932
"32",1325616
"33",318829
"34",5111
"35",2950499
"36",4932
"37",2495534
"38",287480
"39",255361
"40",929971
"41",6334
"42",3635
"43",5059
"44",252598
"45",4932
"46",9606
"47",48579
"48",203536
"49",1476912
"50",40559
"51",9606
"52",1328760
"53",72088
"54",9606
"55",6526
"56",2303041
"57",756982
"58",5116
"59",178876
"60",283801
"61",172907
"62",41045
"63",248311
"64",55169
"65",2212625
"66",75913
"67",5537
"68",4896
"69",6446
"70",9606
"71",495992
"72",30069
"73",4932
"74",59586
"75",9358
"76",5341
"77",34627
"78",944170
"79",398435
"80",60175
"81",69234
"82",45609
"83",1294378
"84",428384
"85",60169
"86",5059
"87",181099
"88",4513
"89",8959
"90",987995
"91",5535
"92",310910
"93",47897
"94",222890
"95",934876
"96",1190802
"97",69259
"98",139641
"99",2303032
"100",121343
"101",7227
"102",2561016
"103",1080349
"104",7009
"105",5272
"106",2585901
"107",7227
"108",5116
"109",60424
"110",1594354
"111",690887
"112",5705
"113",481459
"114",9595
"115",2943075
"116",746128
"117",34254
"118",1850975
"119",7539
"120",55169
"121",4932
"122",2585898
"123",746128
"124",353542
"125",130081
"126",9606
"127",34458
"128",746128
"129",5059
"130",35725
"131",660122
"132",129364
"133",984092
"134",199306
"135",307959
"136",934917
"137",1538424
"138",752674
"139",180498
"140",684837
"141",2811469
"142",4932
"143",2584529
"144",4932
"145",2875633
"146",9541
"147",330862
"148",4932
"149",50001
"150",48699
"151",224912
"152",178749
"153",3555
"154",498019
"155",414814
"156",5507
"157",55169
"158",318829
"159",69308
"160",2609453
"161",7426
"162",1758741
"163",1678306
"164",5507
"165",1912981
"166",48490
"167",184149
"168",5665
"169",40380
"170",5507
"171",9913
"172",33653
"173",5059
"174",2201570
"175",74790
"176",89921
"177",88029
"178",746836
"179",62141
"180",29879
"181",631055
"182",2018661
"183",296644
"184",5062
"185",2747443
"186",55169
"187",1518534
"188",345164
"189",446433
"190",690256
"191",5537
"192",1051616
"193",5059
"194",3730
"195",171916
"196",665498
"197",979688
"198",9606
"199",38727
"200",47315
"201",34285
"202",482145
"203",40559
"204",9606
"205",467774
"206",5537
"207",8502
"208",7539
"209",2811474
"210",358014
"211",2684246
"212",57153
"213",596942
"214",103351
"215",3871
"216",717267
"217",29911
"218",5067
"219",318829
"220",370354
"221",354946
"222",573616
"223",45151
"224",1100915
"225",1314778
"226",9606
"227",420778
"228",4529
"229",2978360
"230",2060913
"231",52247
"232",5693
"233",767483
"234",160366
"235",55200
"236",1612424
"237",4932
"238",2507155
"239",420108
"240",70186
"241",74200
"242",210632
"243",202257
"244",885310
"245",9837
"246",2547956
"247",46361
"248",2771288
"249",7237
"250",4792
"251",5855
"252",292533
"253",578461
"254",1158138
"255",759273
"256",690256
"257",2585879
"258",284543
"259",318829
"260",27322
"261",225391
"262",931890
"263",100269
"264",1077358
"265",449318
"266",460519
"267",9742
"268",385308
"269",2175976
"270",7108
"271",1353008
"272",4932
"273",61374
"274",2201514
"275",2714763
"276",148305
"277",45151
"278",178876
"279",105610
"280",58323
"281",5763
"282",237895
"283",9894
"284",1972497
"285",619300
"286",2518135
"287",1442368
"288",5802
"289",1071382
"290",2591280
"291",710243
"292",2691556
"293",5059
"294",181776
"295",1913371
"296",2086736
"297",1046056
"298",4932
"299",81478
"300",86963
"301",27722
"302",91928
"303",1930190
"304",123604
"305",9606
"306",362091
"307",2729053
"308",36777
"309",860376
"310",4896
"311",1612424
"312",48668
"313",236805
"314",75553
"315",3760
"316",1294380
"317",1471845
"318",3702
"319",2547956
"320",2591262
"321",460519
"322",4932
"323",743114
"324",40482
"325",8519
"326",2733690
"327",2233749
"328",1459831
"329",5076
"330",307441
"331",749231
"332",1227493
"333",1638242
"334",2953753
"335",745377
"336",2961621
"337",436308
"338",579137
"339",1855873
"340",12915
"341",386456
"342",99938
"343",439481
"344",1104324
"345",1227488
"346",1227459
"347",869889
"348",1433523
"349",671145
"350",253108
"351",637915
"352",1679076
"353",1872699
"354",28442
"355",797302
"356",2077203
"357",2282128
"358",1638261
"359",1495314
"360",399550
"361",1227485
"362",1126236
"363",937775
"364",1434108
"365",2743090
"366",2866381
"367",2876190
"368",33865
"369",1214066
"370",930943
"371",911134
"372",1577685
"373",1869245
"374",69527
"375",2866384
"376",1592728
"377",679926
"378",439386
"379",1434111
"380",911119
"381",1434103
"382",1897478
"383",453591
"384",2590886
"385",547558
"386",1826872
"387",1122233
"388",2862870
"389",381852
"390",1227496
"391",1236903
"392",536044
"393",273057
"394",1132506
"395",190974
"396",259564
"397",1227461
"398",2917812
"399",2904243
"400",1095776
"401",1298606
"402",3020830
"403",368408
"404",1638223
"405",268739
"406",2917711
"407",2594042
"408",1227495
"409",406552
"410",2993314
"411",1227484
"412",2668068
"413",1679091
"414",224719
"415",3002863
"416",2961598
"417",1073081
"418",2559572
"419",662475
"420",662480
"421",139207
"422",355548
"423",1364935
"424",1132505
"425",1499975
"426",2668070
"427",1230457
"428",1483601
"429",2448032
"430",1126238
"431",1295120
"432",1126241
"433",2077198
"434",1712654
"435",768733
"436",2715751
"437",2934174
"438",868131
"439",2216012
"440",148449
"441",41673
"442",1765057
"443",2743089
"444",2953748
"445",2283638
"446",671065
"447",190975
"448",1198257
"449",2902625
"450",1122961
"451",2077202
"452",1855858
"453",1227497
"454",1301915
"455",1028567
"456",911124
"457",1364945
"458",118062
"459",2654197
"460",43776
"461",1126240
"462",2282134
"463",2691917
"464",2217661
"465",1227467
"466",1544719
"467",1415626
"468",272844
"469",523844
"470",2282654
"471",333146
"472",2962672
"473",1609559
"474",2982524
"475",2094122
"476",911128
"477",1434099
"478",2282135
"479",926690
"480",2962676
"481",1434120
"482",2963434
"483",1679093
"484",44930
"485",2961596
"486",49339
"487",1001994
"488",1293042
"489",1163730
"490",1198298
"491",485914
"492",54254
"493",768730
"494",2896368
"495",1638272
"496",2265
"497",2931977
"498",2963433
"499",666510
"500",1364933
"501",478009
"502",1765055
"503",911130
"504",1236689
"505",2600297
"506",1638256
"507",1293039
"508",2249761
"509",413815
"510",1483597
"511",1470067
"512",647113
"513",62609
"514",2282126
"515",427317
"516",2199
"517",2848611
"518",1480675
"519",2666142
"520",1379040
"521",1264579
"522",2071873
"523",2282127
"524",2216978
"525",1122229
"526",263820
"527",2282148
"528",427318
"529",588319
"530",869890
"531",2692200
"532",1230460
"533",523846
"534",2016361
"535",268735
"536",2949993
"537",374847
"538",370324
"539",2938695
"540",2583824
"541",1638267
"542",227598
"543",204050
"544",1227492
"545",2886041
"546",1434109
"547",1638254
"548",2716717
"549",572478
"550",521002
"551",1470066
"552",299308
"553",1540082
"554",2933293
"555",926571
"556",2341020
"557",1383843
"558",1526162
"559",1132498
"560",591019
"561",2283527
"562",273063
"563",2690782
"564",1434114
"565",589924
"566",368624
"567",1227460
"568",2870563
"569",1056495
"570",2650975
"571",2841655
"572",2650752
"573",1483602
"574",2750669
"575",1410664
"576",81417
"577",2961574
"578",1230453
"579",1860157
"580",213585
"581",1510225
"582",29540
"583",1930624
"584",2562277
"585",28892
"586",2282131
"587",1227457
"588",797210
"589",2559573
"590",1383844
"591",35743
"592",2600597
"593",751944
"594",456442
"595",1798806
"596",2210
"597",182779
"598",572546
"599",2978732
"600",1175444
"601",1860156
"602",2987527
"603",2508726
"604",2603820
"605",1638259
"606",1383841
"607",1710537
"608",1453760
"609",2716718
"610",1483600
"611",1638257
"612",2834276
"613",1699371
"614",755310
"615",2485783
"616",397948
"617",1383842
"618",1201011
"619",2663019
"620",255616
"621",911121
"622",282676
"623",2715750
"624",2951804
"625",2801032
"626",1293041
"627",2692199
"628",61858
"629",911122
"630",2497325
"631",1353246
"632",2487749
"633",1434121
"634",2039234
"635",2650753
"636",2073113
"637",1853690
"638",2750670
"639",1853686
"640",1293043
"641",1586233
"642",488124
"643",634157
"644",1853684
"645",2666143
"646",1227494
"647",106207
"648",2282133
"649",1080712
"650",1638210
"651",660515
"652",1903277
"653",2572921
"654",2223
"655",634497
"656",3026162
"657",1678448
"658",2962673
"659",1434115
"660",2812551
"661",1937004
"662",1495336
"663",2518112
"664",1227486
"665",1846278
"666",694430
"667",1444107
"668",2714944
"669",1736432
"670",2724929
"671",1128332
"672",2879464
"673",2739025
"674",2005388
"675",1472718
"676",1799667
"677",1410887
"678",1324319
"679",533243
"680",2080664
"681",1121957
"682",1402731
"683",1806892
"684",2609136
"685",1158662
"686",2886689
"687",1413359
"688",596155
"689",1365957
"690",1436045
"691",1421852
"692",1334187
"693",760882
"694",1881031
"695",1448688
"696",1734444
"697",1867715
"698",1281031
"699",1450183
"700",527001
"701",992089
"702",1523417
"703",1410919
"704",1868734
"705",1463877
"706",2305988
"707",2509672
"708",1397917
"709",1220587
"710",575256
"711",2819756
"712",2576917
"713",1412648
"714",1159045
"715",2791027
"716",2014528
"717",1903291
"718",1169216
"719",1399115
"720",1450514
"721",2024219
"722",578221
"723",1229492
"724",2283449
"725",2487274
"726",2951807
"727",1418235
"728",1632864
"729",47847
"730",2293047
"731",2911614
"732",2793805
"733",1256221
"734",1715171
"735",1421840
"736",2661583
"737",585148
"738",680125
"739",1154970
"740",1127134
"741",996854
"742",1388144
"743",1232195
"744",2692862
"745",1281049
"746",1981683
"747",2676295
"748",2697363
"749",1356299
"750",1381558
"751",2742637
"752",164516
"753",1418303
"754",1965604
"755",1422122
"756",1048808
"757",1160222
"758",1124468
"759",1438737
"760",1397893
"761",2572886
"762",1409576
"763",1421994
"764",1238190
"765",52
"766",1436798
"767",1388024
"768",2292032
"769",1409422
"770",1068590
"771",2608046
"772",1005041
"773",2605987
"774",1416761
"775",758832
"776",1196187
"777",2583587
"778",1227813
"779",1388369
"780",1805477
"781",2601024
"782",2750941
"783",2926292
"784",33932
"785",755957
"786",2850322
"787",889214
"788",1402967
"789",1434177
"790",1448563
"791",2918196
"792",1219043
"793",1422003
"794",2576038
"795",2212991
"796",2025506
"797",1438706
"798",1449347
"799",1397907
"800",2829795
"801",2782540
"802",1925589
"803",2202419
"804",2962045
"805",2823746
"806",1912100
"807",2744239
"808",2571141
"809",1287657
"810",2614801
"811",1281189
"812",519851
"813",2763645
"814",2821087
"815",2563665
"816",2986927
"817",2290919
"818",2723053
"819",292564
"820",419825
"821",1849719
"822",1128969
"823",1435361
"824",2845823
"825",2819774
"826",205918
"827",1240772
"828",1422384
"829",2949976
"830",3024245
"831",1122202
"832",1215063
"833",1485588
"834",2914041
"835",1388624
"836",2502235
"837",983548
"838",439699
"839",2587865
"840",1206095
"841",1735688
"842",1095770
"843",2582668
"844",1182665
"845",1486285
"846",749953
"847",94122
"848",344601
"849",1795040
"850",2033502
"851",2794832
"852",1412676
"853",2582618
"854",1281216
"855",765110
"856",2528664
"857",1427268
"858",1089456
"859",1908258
"860",2004997
"861",2044574
"862",2496697
"863",1438760
"864",1331259
"865",2690608
"866",1165939
"867",2039342
"868",1519489
"869",1688671
"870",1379273
"871",1422579
"872",1324301
"873",1206744
"874",1154797
"875",1224138
"876",487215
"877",1695997
"878",2690536
"879",929507
"880",2841926
"881",2816072
"882",1051056
"883",83302
"884",2949858
"885",251
"886",58116
"887",1144334
"888",319795
"889",640634
"890",1293573
"891",2293054
"892",2492662
"893",1609135
"894",1444187
"895",1739441
"896",1218078
"897",2769304
"898",1402606
"899",1410805
"900",1151279
"901",571932
"902",1908240
"903",1041151
"904",1422603
"905",1882399
"906",1290412
"907",1198673
"908",2109333
"909",1400911
"910",627605
"911",2725310
"912",946077
"913",1735116
"914",1529005
"915",2690506
"916",2601072
"917",1656889
"918",2713174
"919",1736564
"920",931440
"921",1796033
"922",1116027
"923",1123303
"924",1169350
"925",2606431
"926",903926
"927",1232194
"928",431059
"929",470826
"930",2585775
"931",2108543
"932",39723
"933",2212651
"934",2897778
"935",2528175
"936",1507734
"937",1690039
"938",1448684
"939",2733546
"940",2039167
"941",2791990
"942",2796402
"943",1532556
"944",2686351
"945",1899321
"946",2597345
"947",1388303
"948",2135693
"949",1388649
"950",2082627
"951",1188263
"952",2941519
"953",1388580
"954",2650773
"955",1402652
"956",1339309
"957",1295010
"958",1524096
"959",1154938
"960",2813842
"961",1267897
"962",1295720
"963",2583805
"964",1661041
"965",1965659
"966",2759948
"967",2135656
"968",2292077
"969",304
"970",1265493
"971",1905696
"972",1265674
"973",2569538
"974",1224926
"975",1917422
"976",2037914
"977",2025310
"978",1158172
"979",1121339
"980",573983
"981",1434886
"982",1349750
"983",1898044
"984",2584605
"985",2769348
"986",1409668
"987",1223573
"988",1151332
"989",1452534
"990",1172621
"991",2997952
"992",1417109
"993",1488312
"994",481719
"995",2897337
"996",511062
"997",1182686
"998",1359152
"999",1715159
"1000",120682
