#Organism/Name	taxid	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Pyricularia oryzae	318829	PRJNA354675	354675	Fungi	Ascomycetes	37.6364	51.8	GCA_003016665.1	-	MQPQ01	1959	-	-	2018/03/26	2018/03/26	Scaffold	Fujian Agriculture and Forestry University	SAMN06050107
Komagataella phaffii	460519	PRJNA777939	777939	Fungi	Ascomycetes	9.3301	41.1	GCA_023013045.1	-	JAJJSG01	48	-	-	2022/04/15	2022/04/15	Scaffold	University College Dublin	SAMN22894772
Rotaria socialis	392032	PRJEB43238	705345	Animals	Other Animals	154.58	31.8	GCA_905332285.1	-	CAJOBS01	20987	34499	34499	2021/03/11	2021/03/11	Scaffold	IMPERIAL COLLEGE LONDON	SAMEA8117381
Falco pelegrinoides	491646	PRJNA802106	802106	Animals	Birds	1153.8	41.8	GCA_024432695.1	-	JALPQW01	642	-	-	2022/07/25	2022/07/25	Scaffold	New York University Abu Dhabi	SAMN24625189
Tenebrosternarchus preto	2936482	PRJNA547788	547788	Animals	Fishes	536.309	40	GCA_025802075.1	-	JAOYMR01	26872	-	-	2022/10/23	2022/10/23	Scaffold	IRIDIAN GENOMES	SAMN11976056
Coniochaeta sp. PT30-03-2	2939519	PRJNA833221	833221	Fungi	Ascomycetes	33.9675	54.4	GCA_023628895.1	-	JAMAJX01	209	-	-	2022/06/01	2022/06/01	Scaffold	Dalian Medical University	SAMN27964110
Bemisia tabaci	7038	PRJEB28507	527233	Animals	Insects	657.78	39.4	GCA_902825415.1	-	CADEAZ01	955	-	-	2020/04/02	2020/04/02	Scaffold	National Resource Institute (NRI)	SAMEA5678105
Pisum sativum	3888	PRJNA880020	880020	Plants	Land Plants	3796.07	37.9728	GCA_024323335.2	chromosome 1:NC_066579.1/CM044345.1; chromosome 2:NC_066580.1/CM044346.1; chromosome 3:NC_066581.1/CM044347.1; chromosome 4:NC_066582.1/CM044348.1; chromosome 5:NC_066583.1/CM044349.1; chromosome 6:NC_066584.1/CM044350.1; chromosome 7:NC_066585.1/CM044351.1; mitochondrion MT:CM044352.1; chloroplast Pltd:CM044353.1	JAMSHJ01	1566	65736	51160	2022/07/19	2022/07/19	Chromosome	NCBI	SAMN19348527
Oryza rufipogon	4529	PRJNA305217	305217	Plants	Land Plants	384.518	43.9	GCA_001551805.1	-	LONB01	2582	-	-	2016/02/07	2016/02/07	Contig	 The University of Queensland	SAMN04320549
Kluyveromyces lactis	28985	PRJNA386037	386037	Fungi	Ascomycetes	10.6827	38.704	GCA_002151565.1	chromosome A:CP021239.1; chromosome B:CP021240.1; chromosome C:CP021241.1; chromosome D:CP021242.1; chromosome E:CP021243.1; chromosome F:CP021244.1; mitochondrion MT:CP021245.1	-	7	-	-	2017/05/19	2017/05/19	Complete Genome	New England Biolabs	SAMN06921775
